image_name,classes
0_frog.png,frog
10000_automobile.png,automobile
10001_frog.png,frog
10002_frog.png,frog
10003_ship.png,ship
10004_ship.png,ship
10005_cat.png,cat
10006_deer.png,deer
10007_frog.png,frog
10008_airplane.png,airplane
10009_frog.png,frog
1000_truck.png,truck
10010_airplane.png,airplane
10011_cat.png,cat
10012_frog.png,frog
10013_frog.png,frog
10014_dog.png,dog
10015_deer.png,deer
10016_ship.png,ship
10017_cat.png,cat
10018_bird.png,bird
10019_frog.png,frog
1001_deer.png,deer
10020_airplane.png,airplane
10021_cat.png,cat
10022_automobile.png,automobile
10023_deer.png,deer
10024_airplane.png,airplane
10025_frog.png,frog
10026_frog.png,frog
10027_bird.png,bird
10028_horse.png,horse
10029_frog.png,frog
1002_cat.png,cat
10030_truck.png,truck
10031_airplane.png,airplane
10032_deer.png,deer
10033_dog.png,dog
10034_horse.png,horse
10035_automobile.png,automobile
10036_frog.png,frog
10037_horse.png,horse
10038_truck.png,truck
10039_automobile.png,automobile
1003_bird.png,bird
10040_horse.png,horse
10041_horse.png,horse
10042_ship.png,ship
10043_airplane.png,airplane
10044_cat.png,cat
10045_horse.png,horse
10046_deer.png,deer
10047_horse.png,horse
10048_cat.png,cat
10049_automobile.png,automobile
1004_deer.png,deer
10050_airplane.png,airplane
10051_deer.png,deer
10052_frog.png,frog
10053_frog.png,frog
10054_automobile.png,automobile
10055_deer.png,deer
10056_truck.png,truck
10057_bird.png,bird
10058_frog.png,frog
10059_deer.png,deer
1005_deer.png,deer
10060_dog.png,dog
10061_airplane.png,airplane
10062_deer.png,deer
10063_frog.png,frog
10064_airplane.png,airplane
10065_ship.png,ship
10066_cat.png,cat
10067_deer.png,deer
10068_ship.png,ship
10069_ship.png,ship
1006_automobile.png,automobile
10070_cat.png,cat
10071_truck.png,truck
10072_dog.png,dog
10073_horse.png,horse
10074_automobile.png,automobile
10075_truck.png,truck
10076_deer.png,deer
10077_horse.png,horse
10078_truck.png,truck
10079_automobile.png,automobile
1007_deer.png,deer
10080_truck.png,truck
10081_horse.png,horse
10082_dog.png,dog
10083_bird.png,bird
10084_horse.png,horse
10085_cat.png,cat
10086_deer.png,deer
10087_ship.png,ship
